user	item	real	pred
255	211	3.5	3.017103
255	17	4.0	2.9807806
255	5	3.0	3.394702
1187	746	3.0	2.8993022
1187	256	2.5	1.4763
1187	365	3.0	3.087207
1187	215	2.0	4.0163064
1187	220	3.0	1.3024452
1187	13	4.0	2.685301
1187	689	4.0	2.1058896
1187	1530	2.0	3.6309887e-35
1187	744	2.5	0.06306742
1187	618	3.0	1.3944395
1187	1641	3.0	1.6209595
1187	425	3.5	1.3909026
1187	301	1.0	0.8206446
1187	537	2.5	1.6285102
1187	592	1.0	2.6477695
1187	876	3.0	2.0137274
1187	790	3.0	0.124066
1187	1013	3.0	0.2323801
1187	339	2.0	3.6126075
1187	548	3.0	2.8114302
1187	728	3.0	3.3096178
1187	286	3.0	1.725687
1187	345	3.0	3.3165538
1187	703	2.5	2.1696062
1187	1886	3.5	0.0
1187	410	2.5	2.519402
1187	1905	3.0	1.3697568e-35
1187	699	2.5	3.1395802
1187	361	2.5	0.57616496
1187	454	3.0	1.3963281
1187	304	3.0	2.5744634
1187	1918	2.5	0.0
1187	943	3.0	2.2415311
1187	1060	3.0	0.64417183
1187	1819	3.0	0.0
1187	1820	3.0	1.183176
1187	1902	2.0	0.0
1187	1585	3.0	0.21507597
1187	356	2.5	2.8550477
1187	959	2.0	0.30128965
1187	762	3.0	1.4009221
1187	335	3.0	2.901822
1187	691	1.0	3.6865501
1187	977	3.0	0.0
1187	686	3.0	0.68321365
1187	761	2.0	1.8580072
1187	1388	2.5	0.34720227
456	479	4.0	1.2249104
456	233	2.5	2.8797498
456	7	4.0	3.65887
456	1275	3.0	1.5089115
1018	1796	4.0	0.0
1018	236	3.0	1.5654466
1018	1797	3.5	0.0
1018	1795	3.0	0.0
1018	1261	3.0	0.30292204
1018	596	3.5	0.7199732
1018	1791	4.0	2.2601537e-15
1018	1802	4.0	1.8711274
1018	1804	3.5	0.0
1034	241	3.0	2.9603112
1034	8	3.5	4.308889
1034	2	2.5	4.2346964
1034	207	0.5	3.0574658
1034	236	2.0	3.176006
1034	563	4.0	3.331946
1034	1090	3.5	2.3476193
1034	525	4.0	3.2553241
1034	1298	3.0	1.0062393
1034	1826	3.0	0.0
1034	1592	2.0	3.2967389
1034	1816	4.0	0.0
1034	863	3.5	1.3974018
1034	1819	3.0	2.9621212e-35
1034	1813	4.0	2.767716e-35
1034	1091	4.0	2.9713976
1034	1809	3.0	2.535922e-35
1034	1119	4.0	0.8476845
1034	1253	3.0	0.3159228
1236	256	2.5	1.5143292
1236	2	3.5	3.425127
1236	7	2.0	1.1009431
494	244	3.0	3.2364829
494	235	2.5	3.3106976
494	217	2.5	1.4538488
494	214	3.0	2.6730812
494	1	3.0	2.8105054
494	11	2.5	3.6935415
494	10	3.0	2.7768013
494	234	3.0	2.4959998
494	215	4.0	3.8162003
494	212	3.0	3.8862264
494	219	3.5	3.7366045
494	254	3.0	3.460187
494	7	3.5	4.33504
