user	item	real	pred
1343	9	3.0	3.2134268537074147
1343	4	3.0	3.2059386973180075
1343	8	3.0	3.1814814814814816
1343	251	2.5	3.0473684210526315
1343	214	1.5	2.8840579710144927
1086	206	4.0	3.101758793969849
302	9	4.0	3.2134268537074147
302	84	1.5	2.809748427672956
302	12	2.5	2.760720411663808
302	236	4.0	3.1004983388704317
302	211	2.5	3.209205020920502
302	241	3.0	2.8624708624708624
302	254	4.0	2.923611111111111
302	252	0.5	2.764516129032258
302	248	2.0	2.7036290322580645
302	210	3.0	2.7815533980582523
302	215	4.0	3.173452768729642
302	244	3.0	2.7573770491803278
302	249	3.0	2.791970802919708
302	3	3.5	3.0490367775831873
455	9	4.0	3.2134268537074147
455	4	4.0	3.2059386973180075
455	254	3.5	2.923611111111111
455	207	2.5	2.8540197461212977
455	17	4.0	3.067588325652842
455	10	3.0	2.895762711864407
1193	12	3.0	2.760720411663808
1193	121	3.0	2.925566343042071
1193	236	3.0	3.1004983388704317
1193	211	3.0	3.209205020920502
1193	247	4.0	2.872448979591837
1193	248	2.5	2.7036290322580645
1193	207	1.5	2.8540197461212977
1193	243	2.5	2.627450980392157
1193	215	4.0	3.173452768729642
1193	217	3.5	2.8793103448275863
1193	212	3.5	2.870870870870871
1388	12	0.5	2.760720411663808
1388	233	1.0	2.907608695652174
1388	121	2.0	2.925566343042071
1388	211	1.5	3.209205020920502
1388	251	0.5	3.0473684210526315
1388	246	2.0	2.863013698630137
1388	5	0.5	3.2344290657439445
1388	10	2.5	2.895762711864407
1388	235	0.5	2.676595744680851
1388	239	4.0	2.9409871244635193
1388	214	0.5	2.8840579710144927
1388	245	3.0	2.994579945799458
1388	1995	4.0	3.6666666666666665
161	678	2.0	3.0347414081779633
161	257	2.0	2.3333333333333335
161	1	2.0	1.5
161	604	3.0	2.9
161	5	3.5	2.5
161	768	2.5	1.875
161	365	3.5	2.0
161	335	4.0	3.0
161	750	2.5	1.8
161	638	4.0	3.6666666666666665
161	265	3.0	1.4
161	658	3.5	3.0
161	345	3.0	1.8333333333333333
161	712	4.0	3.142857142857143
161	755	2.0	2.7142857142857144
161	747	3.0	2.0
161	490	2.0	3.5
161	352	2.5	1.75
161	486	3.5	2.6
161	701	4.0	3.625
161	293	4.0	2.75
161	731	2.5	2.125
161	668	3.0	3.0833333333333335
161	748	0.5	2.625
161	709	3.0	2.25
161	704	4.0	3.5
161	592	2.0	2.5
161	275	4.0	3.8333333333333335
161	711	1.5	2.0
161	735	3.0	3.1
161	730	3.0	2.625
161	620	3.5	2.625
161	351	0.5	2.0
161	720	2.0	3.2777777777777777
161	687	0.5	2.625
161	708	2.0	3.2916666666666665
161	700	1.5	3.357142857142857
1480	233	2.5	2.907608695652174
1480	121	2.5	2.925566343042071
1480	257	4.0	2.710772833723653
1480	211	3.5	3.209205020920502
