user	item	real	pred
759	205	2.0	2.814547
759	207	0.5	5.0355473
759	7	4.0	5.144515
759	206	3.0	0.94629
759	235	2.0	4.479759
759	217	3.0	2.8221316
1407	1061	3.5	3.223691
539	3	2.5	2.8506906
539	211	4.0	3.0643945
539	8	3.5	3.1337402
539	2	3.0	2.3197865
539	13	4.0	1.8343738
539	206	4.0	1.9255097
539	252	3.0	2.8468704
539	210	3.5	2.8497498
539	248	3.5	3.9800792
425	236	4.0	2.6871562
425	211	2.5	3.0549269
425	249	1.0	2.0197234
425	6	1.0	3.545105
425	239	2.0	2.4393709
425	207	4.0	2.5047963
425	11	3.0	1.2631243
425	1	4.0	3.6324317
425	243	1.5	3.071681
425	254	1.5	3.853127
425	220	3.0	3.501028
425	246	2.0	2.8373444
425	256	4.0	5.7702875
477	236	3.5	3.0021093
477	121	3.0	3.8992987
477	2	3.0	3.3724067
477	255	0.5	2.3972995
477	215	3.0	3.2273092
477	17	3.0	0.5444679
477	10	1.5	4.6065607
477	234	1.0	4.326392
477	220	3.0	5.8859043
477	246	2.0	3.2411609
477	256	1.5	3.3406317
930	3	2.0	3.2744927
930	236	3.5	2.9703255
930	4	2.5	3.7217562
930	84	2.5	2.6322377
930	8	3.0	3.5186553
930	6	2.0	4.7026
930	216	3.0	3.3949318
930	212	2.0	1.2417916
930	10	4.0	3.3935635
930	234	3.0	5.22177
862	211	4.0	3.301712
862	7	3.5	2.372141
862	668	3.5	2.9054356
626	205	3.0	2.6198967
626	219	2.5	2.6587543
626	215	3.5	3.3012238
626	207	2.5	3.2919652
626	254	3.5	3.3189821
626	400	4.0	2.6903546
626	986	2.0	3.953283
626	148	3.5	3.2397242
626	284	3.5	3.4805684
626	434	4.0	3.2551425
626	486	4.0	3.0386086
626	1378	4.0	2.5440094
626	389	0.5	3.0755029
626	204	4.0	2.4139655
626	1393	1.0	3.1096346
626	1379	4.0	3.1099138
626	1392	4.0	3.054846
626	1195	3.5	2.6634798
626	523	0.5	2.5620682
626	1049	4.0	2.9888961
626	657	3.5	3.029707
626	705	4.0	3.2845385
626	1389	3.5	3.0920851
626	499	2.5	3.1215997
626	160	4.0	3.1215997
626	386	4.0	3.1215997
166	219	4.0	3.4523664
166	6	3.5	1.5181901
166	17	4.0	2.4385228
166	233	3.0	2.3515017
166	210	1.5	3.111407
1087	9	3.0	1.1321886
1087	2	4.0	2.1408334
1087	250	3.0	1.5145127
1212	9	3.5	4.199524
1212	1614	4.0	1.5707324
1212	7	4.0	3.3624127
1212	167	4.0	2.234374
1212	17	4.0	2.5705
1212	699	4.0	3.3261437
1212	1618	4.0	2.8544972
1212	1033	1.0	2.8790386
1212	675	4.0	2.0217319
1212	875	3.5	2.7558038
1212	1949	2.0	3.3406053
1212	1035	0.5	3.3758547
1212	1279	2.5	3.43087
1212	266	4.0	3.044132
1212	1129	1.5	3.36595
1212	1694	3.0	3.3429146
1212	1068	4.0	3.0196285
1212	1043	3.5	3.0919373
1212	1128	3.0	3.141022
1212	1947	4.0	3.062117
1159	211	3.0	1.7205938
1159	249	3.0	2.9022284
1159	84	3.0	4.0401545
1159	734	0.5	2.7139199
1159	213	4.0	2.3607907
1159	235	4.0	3.3186636
1159	252	2.5	4.0422697
1159	217	3.5	3.2913888
1159	210	3.5	2.7985063
1159	256	4.0	1.8767893
1159	541	1.5	3.1966279
455	236	2.5	2.819357
455	211	4.0	2.7156076
455	84	3.0	3.5984015
455	2	4.0	1.6127753
1122	219	3.5	2.0301747
1122	8	3.0	3.468879
1122	212	3.5	4.9360056
1122	215	2.0	3.552118
1122	13	4.0	4.3255563
1122	214	2.0	2.4840977
1122	207	3.0	5.0404205
1122	250	3.0	3.4375246
1122	247	3.5	3.9453077
1122	248	3.0	3.1684883
1122	256	3.5	1.524739
1476	236	3.0	0.03205633
1476	219	4.0	3.577043
1476	249	4.0	3.989607
1476	8	1.5	5.466546
1476	241	4.0	2.9435627
1476	239	4.0	3.0178213
1476	212	4.0	1.1352292
1476	214	2.5	3.5760627
1476	213	4.0	5.062128
1476	7	4.0	4.2577972
1476	1	3.5	4.0761814
1476	10	4.0	2.848484
1476	243	4.0	2.608508
1476	244	4.0	2.5522828
1476	217	4.0	2.9185865
1476	250	4.0	3.00568
174	3	1.5	3.9660811
174	121	1.5	4.6541243
174	249	1.0	3.5332482
174	8	3.5	4.4686937
174	2	4.0	2.9329205
174	216	1.5	-1.1566076
174	1	3.5	2.4761276
174	257	3.0	3.2470505
174	243	1.5	2.4999344
174	244	2.5	0.9849384
174	5	3.0	1.4807599
786	8	2.0	1.3324572
786	216	1.0	1.7643709
786	10	4.0	2.6221333
685	236	2.5	3.5577526
685	4	0.5	3.9454014
685	9	1.5	1.0476393
685	249	0.5	3.6504235
685	8	0.5	0.87042284
685	241	2.5	3.4628744
685	239	0.5	2.8329074
685	212	1.0	3.0528176
685	13	0.5	2.6676512
685	243	2.0	2.8425357
685	250	3.5	3.6282485
349	3	3.0	2.0530338
349	8	1.5	3.199293
349	2	2.0	1.9102738
349	6	2.0	-0.22014523
349	239	3.0	2.0899165
349	214	2.5	5.4284277
349	207	2.5	2.758576
349	7	3.0	2.8876402
349	17	2.0	3.3335955
349	220	0.5	2.6962347
349	250	4.0	0.32332015
426	236	4.0	2.3078082
426	239	2.5	3.4950607
426	12	3.0	3.5521712
426	253	1.0	3.9902632
426	243	3.5	3.2079227
426	5	3.5	4.539426
1034	205	2.0	3.0346618
1034	8	3.5	3.170098
1034	241	3.0	3.3054364
1034	6	2.5	4.0220594
1034	216	4.0	-0.8330507
1034	1	2.0	3.4893332
1034	250	4.0	6.828081
1034	1824	3.0	4.362298
1034	5	4.0	2.5303307
1034	368	3.0	1.0805697
1034	1827	3.0	3.270287
1034	1817	3.0	3.818131
1034	448	4.0	2.219511
1034	658	3.0	3.230868
1034	1828	3.5	2.608645
1034	1119	4.0	2.5250928
1034	1812	3.0	3.0795677
1034	456	4.0	2.9673996
1034	1820	4.0	2.9993594
1034	1253	3.0	2.8590612
1034	1826	3.0	2.8890653
293	205	3.5	3.6780825
293	3	3.5	3.2224557
293	4	2.5	3.9413278
293	84	2.0	3.5287004
293	215	3.5	3.065807
293	235	4.0	3.8329735
293	12	2.5	3.4988813
293	257	2.0	4.946728
293	253	3.5	3.2707453
293	243	3.0	2.9672685
293	256	2.0	1.0478551
867	236	3.0	2.9995086
867	9	3.0	3.5902047
867	84	2.5	3.4719226
867	8	2.0	3.7032337
867	2	1.5	2.797523
867	255	2.5	2.0642288
867	11	4.0	2.965319
867	220	3.0	5.7983594
867	217	2.0	2.5898774
867	749	2.0	2.938009
1461	236	2.5	3.5306602
1461	84	2.5	3.5174994
1461	6	4.0	3.7416024
1461	255	3.0	3.9555326
1461	216	1.5	4.3041487
1461	206	2.5	2.4970832
1461	12	2.5	3.1903615
1461	244	3.5	2.830416
1461	217	1.5	3.2638278
1461	246	3.5	1.9524547
1461	5	3.0	1.1706297
1461	248	3.5	2.0707934
937	241	4.0	2.2617793
937	247	4.0	3.638749
708	1508	4.0	4.0590596
1252	211	4.0	1.640663
1252	219	4.0	2.8675125
1252	9	2.5	1.7290273
1252	215	3.0	3.0606153
1252	13	3.5	3.7810864
1252	207	3.5	-0.19433594
1252	245	3.0	3.2818081
1252	235	3.0	2.5326552
1252	254	2.5	5.12772
1252	220	3.0	3.3288233
1252	250	4.0	0.5927708
1252	247	2.5	1.8822734
7	205	2.5	3.9797344
7	212	4.0	2.724332
7	213	1.5	1.9600104
7	11	4.0	3.4994671
920	3	1.0	3.0735536
920	2	3.0	3.2149677
920	207	2.5	0.9216399
920	17	1.5	3.5481238
920	1	4.0	2.8845317
920	10	4.0	3.9213986
212	205	4.0	3.7126832
212	3	3.5	2.6153257
212	8	3.5	2.4967525
212	2	3.0	2.8041735
212	215	4.0	3.0219872
212	1	1.0	3.6283817
1101	13	3.5	3.4811072
1101	207	3.5	3.0686674
1101	213	3.0	3.515164
1101	1	2.5	2.2816782
