user	item	real	pred
389	247	2.0	3.3435931
389	211	3.5	2.251562
389	236	3.5	2.495335
389	234	3.5	2.8857398
389	216	2.0	2.8642037
389	12	3.5	1.7572109
389	4	4.0	5.0
389	6	3.0	5.0
389	235	2.5	3.4744656
389	233	2.0	3.160412
1343	3	4.0	2.3291483
1343	211	2.5	3.7003138
1343	213	2.0	3.482184
1343	216	3.0	2.4693398
1343	8	3.0	4.5837507
1343	4	3.0	4.4823494
1343	207	4.0	3.5709147
1343	235	3.0	4.250137
1343	9	3.0	1.5422063
655	244	1.5	5.0
578	1123	3.5	4.0643206
578	236	1.5	0.81388307
578	1358	3.0	2.6603415
578	436	4.0	3.9533877
578	1037	2.5	3.716663
578	897	2.5	2.3880906
578	1363	3.0	2.90698
578	1368	3.0	2.7144482
578	1359	3.5	2.901191
204	247	4.0	0.02629006
204	211	4.0	2.2920506
204	7	4.0	0.0
204	236	4.0	1.6404229
204	1	4.0	2.949214
204	8	4.0	2.5478969
204	4	4.0	1.7801768
204	250	4.0	5.0
204	239	4.0	5.0
204	214	4.0	3.018843
204	241	4.0	0.0
204	257	4.0	0.62471676
307	7	2.0	3.576555
307	242	2.0	5.0
307	4	3.5	5.0
307	17	3.0	5.0
307	13	4.0	0.6117699
307	443	4.0	3.576488
729	244	2.5	0.0
729	248	1.5	1.9106236
729	234	3.0	5.0
729	243	2.5	1.4142418
729	206	1.5	5.0
729	220	3.5	4.2850933
729	215	2.5	0.64601254
729	5	2.0	4.6289577
729	239	1.5	5.0
729	245	2.5	3.2691457
729	210	2.5	5.0
729	84	1.5	5.0
1010	242	4.0	3.4484608
1010	215	3.0	1.4198524
1187	244	2.0	4.374646
1187	617	2.0	2.954784
1187	977	3.0	2.083942
1187	219	3.0	3.3505652
1187	591	1.5	5.0
1187	148	2.0	4.270431
1187	898	2.5	4.497093
1187	675	3.5	0.3677101
1187	210	3.5	3.4580083
1187	484	4.0	5.0
1187	1922	3.0	4.4666276
1187	189	3.5	0.8204403
